time	V(n002)
1.053063280852068e-02	-1.989381e+00
1.060875780852068e-02	-2.279083e+00
1.068688280852067e-02	-2.567379e+00
1.076500780852067e-02	-2.854076e+00
1.080407030852067e-02	-2.996750e+00
1.084313280852067e-02	-3.138846e+00
1.088219530852067e-02	-3.280308e+00
1.092125780852067e-02	-3.421200e+00
1.096032030852067e-02	-3.561497e+00
1.099938280852067e-02	-3.701169e+00
1.103844530852067e-02	-3.840175e+00
1.107750780852067e-02	-3.978487e+00
1.111657030852066e-02	-4.116056e+00
1.115563280852066e-02	-4.252853e+00
1.119469530852066e-02	-4.388824e+00
1.123375780852066e-02	-4.523933e+00
1.127282030852066e-02	-4.658123e+00
1.131188280852066e-02	-4.791351e+00
1.135094530852066e-02	-4.923552e+00
1.139000780852066e-02	-5.054677e+00
1.142907030852066e-02	-5.184654e+00
1.146813280852066e-02	-5.313426e+00
1.150719530852066e-02	-5.440911e+00
1.154625780852066e-02	-5.567046e+00
1.158532030852065e-02	-5.691740e+00
1.162438280852065e-02	-5.814919e+00
1.166344530852065e-02	-5.936489e+00
1.170250780852065e-02	-6.056366e+00
1.174157030852065e-02	-6.174449e+00
1.178063280852065e-02	-6.290654e+00
1.181969530852065e-02	-6.404872e+00
1.185875780852065e-02	-6.517018e+00
1.189782030852065e-02	-6.626989e+00
1.193688280852065e-02	-6.734701e+00
1.197594530852065e-02	-6.840056e+00
1.201500780852065e-02	-6.942984e+00
1.205407030852064e-02	-7.043397e+00
1.209313280852064e-02	-7.141241e+00
1.213219530852064e-02	-7.236447e+00
1.217125780852064e-02	-7.328979e+00
1.221032030852064e-02	-7.418793e+00
1.224938280852064e-02	-7.505875e+00
1.232750780852064e-02	-7.671792e+00
1.240563280852064e-02	-7.826782e+00
1.248375780852064e-02	-7.971069e+00
1.260094530852063e-02	-8.168271e+00
1.271813280852063e-02	-8.343916e+00
1.279625780852063e-02	-8.448626e+00
1.287438280852063e-02	-8.546612e+00
1.295250780852063e-02	-8.637874e+00
1.303063280852062e-02	-8.722414e+00
1.310875780852062e-02	-8.800229e+00
1.318688280852062e-02	-8.871321e+00
1.326500780852062e-02	-8.935690e+00
1.339335602280633e-02	-9.030150e+00
1.352170423709204e-02	-9.115342e+00
1.365005245137775e-02	-9.191265e+00
1.377840066566346e-02	-9.257918e+00
1.390674887994918e-02	-9.315303e+00
1.403509709423489e-02	-9.363419e+00
1.416344530852060e-02	-9.402266e+00
1.444246316566345e-02	-9.469149e+00
1.472148102280630e-02	-9.509029e+00
1.500049887994915e-02	-9.521905e+00
1.527951673709201e-02	-9.507777e+00
1.555853459423486e-02	-9.466645e+00
1.583755245137771e-02	-9.398510e+00
1.611657030852056e-02	-9.303370e+00
1.622817745137770e-02	-9.255740e+00
1.633978459423484e-02	-9.199667e+00
1.645139173709198e-02	-9.135152e+00
1.656299887994912e-02	-9.062195e+00
1.667460602280626e-02	-8.980795e+00
1.678621316566340e-02	-8.890953e+00
1.689782030852054e-02	-8.792669e+00
1.697036495137768e-02	-8.721991e+00
1.704290959423483e-02	-8.644641e+00
1.711545423709197e-02	-8.560619e+00
1.718799887994911e-02	-8.469926e+00
1.726054352280625e-02	-8.372560e+00
1.733308816566339e-02	-8.268523e+00
1.740563280852053e-02	-8.157813e+00
1.752282030852053e-02	-7.959346e+00
1.760094530852053e-02	-7.814170e+00
1.767907030852053e-02	-7.658267e+00
1.771813280852053e-02	-7.576223e+00
1.775719530852053e-02	-7.491427e+00
1.779625780852052e-02	-7.403888e+00
1.783532030852052e-02	-7.313611e+00
1.787438280852052e-02	-7.220629e+00
1.791344530852052e-02	-7.124972e+00
1.795250780852052e-02	-7.026696e+00
1.799157030852052e-02	-6.925850e+00
1.803063280852052e-02	-6.822513e+00
1.806969530852052e-02	-6.716751e+00
1.810875780852052e-02	-6.608656e+00
1.814782030852052e-02	-6.498310e+00
1.818688280852052e-02	-6.385811e+00
1.822594530852052e-02	-6.271248e+00
1.826500780852051e-02	-6.154726e+00
1.830407030852051e-02	-6.036330e+00
1.834313280852051e-02	-5.916165e+00
1.838219530852051e-02	-5.794315e+00
1.842125780852051e-02	-5.670879e+00
1.846032030852051e-02	-5.545933e+00
1.849938280852051e-02	-5.419570e+00
1.853844530852051e-02	-5.291859e+00
1.857750780852051e-02	-5.162884e+00
1.861657030852051e-02	-5.032706e+00
1.865563280852051e-02	-4.901399e+00
1.869469530852051e-02	-4.769018e+00
1.873375780852050e-02	-4.635629e+00
1.877282030852050e-02	-4.501277e+00
1.881188280852050e-02	-4.366024e+00
1.885094530852050e-02	-4.229907e+00
1.889000780852050e-02	-4.092982e+00
1.892907030852050e-02	-3.955281e+00
1.896813280852050e-02	-3.816855e+00
1.900719530852050e-02	-3.677732e+00
1.904625780852050e-02	-3.537956e+00
1.908532030852050e-02	-3.397554e+00
1.912438280852050e-02	-3.256567e+00
1.916344530852050e-02	-3.115018e+00
1.920250780852049e-02	-2.972946e+00
1.924157030852049e-02	-2.830371e+00
1.928063280852049e-02	-2.687331e+00
1.931969530852049e-02	-2.543844e+00
1.935875780852049e-02	-2.399946e+00
1.939782030852049e-02	-2.255653e+00
1.943688280852049e-02	-2.111001e+00
1.947594530852049e-02	-1.966006e+00
1.951500780852049e-02	-1.820702e+00
1.955407030852049e-02	-1.675103e+00
1.959313280852049e-02	-1.529243e+00
1.963219530852049e-02	-1.383137e+00
1.967125780852048e-02	-1.236818e+00
1.974938280852048e-02	-9.436148e-01
1.982750780852048e-02	-6.498194e-01
1.990563280852048e-02	-3.556166e-01
1.994469530852048e-02	-2.084178e-01
1.998375780852048e-02	-6.121561e-02
2.002282030852048e-02	8.443480e-02
2.006188280852048e-02	2.294649e-01
2.010094530852048e-02	3.780094e-01
2.013626633162700e-02	5.108973e-01
2.016973576477329e-02	6.372565e-01
2.020410601722144e-02	7.666724e-01
2.024316851722143e-02	9.137228e-01
2.028223101722143e-02	1.060563e+00
2.032129351722143e-02	1.207258e+00
2.039941851722143e-02	1.500022e+00
2.047754351722143e-02	1.791854e+00
2.055566851722143e-02	2.082587e+00
2.063379351722143e-02	2.372051e+00
2.067285601722143e-02	2.516248e+00
2.071191851722142e-02	2.660076e+00
2.075098101722142e-02	2.803489e+00
2.079004351722142e-02	2.946491e+00
2.082910601722142e-02	3.089035e+00
2.086816851722142e-02	3.231124e+00
2.090723101722142e-02	3.372713e+00
2.094629351722142e-02	3.513805e+00
2.098535601722142e-02	3.654356e+00
2.102441851722142e-02	3.794366e+00
2.106348101722142e-02	3.933792e+00
2.110254351722142e-02	4.072637e+00
2.114160601722142e-02	4.210856e+00
2.118066851722141e-02	4.348452e+00
2.121973101722141e-02	4.485381e+00
2.125879351722141e-02	4.621645e+00
2.129785601722141e-02	4.757201e+00
2.133691851722141e-02	4.892051e+00
2.137598101722141e-02	5.026153e+00
2.141504351722141e-02	5.159509e+00
2.145410601722141e-02	5.292076e+00
2.149316851722141e-02	5.423857e+00
2.153223101722141e-02	5.554809e+00
2.157129351722141e-02	5.684936e+00
2.161035601722141e-02	5.814194e+00
2.164941851722140e-02	5.942588e+00
2.168848101722140e-02	6.070076e+00
2.172754351722140e-02	6.196661e+00
2.176660601722140e-02	6.322300e+00
2.180566851722140e-02	6.446999e+00
2.184473101722140e-02	6.570714e+00
2.188379351722140e-02	6.693452e+00
2.192285601722140e-02	6.815168e+00
2.196191851722140e-02	6.935733e+00
2.200098101722140e-02	7.051882e+00
2.204004351722140e-02	7.147219e+00
2.207910601722140e-02	7.206189e+00
2.211816851722139e-02	7.240888e+00
2.215723101722139e-02	7.263567e+00
2.219629351722139e-02	7.280409e+00
2.231348101722139e-02	7.312168e+00
2.240276673150710e-02	7.326231e+00
2.249205244579281e-02	7.338629e+00
2.258133816007853e-02	7.349361e+00
2.267062387436424e-02	7.358428e+00
2.275990958864995e-02	7.365830e+00
2.284919530293567e-02	7.371566e+00
2.293848101722138e-02	7.375637e+00
2.318401673150709e-02	7.385979e+00
2.342955244579279e-02	7.394757e+00
2.367508816007850e-02	7.401971e+00
2.392062387436421e-02	7.407621e+00
2.416615958864992e-02	7.411707e+00
2.441169530293563e-02	7.414230e+00
2.465723101722134e-02	7.415189e+00
2.496415066007848e-02	7.416573e+00
2.527107030293561e-02	7.416178e+00
2.557798994579275e-02	7.414003e+00
2.588490958864989e-02	7.410048e+00
2.619182923150702e-02	7.404314e+00
2.649874887436416e-02	7.396801e+00
2.680566851722129e-02	7.387507e+00
2.691727566007843e-02	7.383745e+00
2.702888280293558e-02	7.378475e+00
2.714048994579272e-02	7.371697e+00
2.725209708864986e-02	7.363412e+00
2.736370423150700e-02	7.353618e+00
2.747531137436414e-02	7.342317e+00
2.758691851722128e-02	7.329508e+00
2.762040066007842e-02	7.324955e+00
2.765388280293556e-02	7.319244e+00
2.768736494579270e-02	7.312375e+00
2.772084708864985e-02	7.304348e+00
2.775432923150699e-02	7.295162e+00
2.778781137436413e-02	7.284819e+00
2.782129351722127e-02	7.273317e+00
2.786035601722127e-02	7.254514e+00
2.789941851722127e-02	7.227263e+00
2.793848101722127e-02	7.183886e+00
2.797754351722127e-02	7.108818e+00
2.801660601722127e-02	7.001307e+00
2.805566851722127e-02	6.882593e+00
2.809473101722127e-02	6.761549e+00
2.813379351722127e-02	6.639402e+00
2.817285601722127e-02	6.516241e+00
2.821191851722126e-02	6.392112e+00
2.825098101722126e-02	6.267011e+00
2.829004351722126e-02	6.140979e+00
2.832910601722126e-02	6.014013e+00
2.836816851722126e-02	5.886156e+00
2.840723101722126e-02	5.757402e+00
2.844629351722126e-02	5.627795e+00
2.848535601722126e-02	5.497331e+00
2.852441851722126e-02	5.366053e+00
2.856348101722126e-02	5.233957e+00
2.860254351722126e-02	5.101086e+00
2.864160601722126e-02	4.967437e+00
2.868066851722125e-02	4.833053e+00
2.871973101722125e-02	4.697931e+00
2.875879351722125e-02	4.562114e+00
2.879785601722125e-02	4.425599e+00
2.883691851722125e-02	4.288429e+00
2.887598101722125e-02	4.150601e+00
2.891504351722125e-02	4.012160e+00
2.895410601722125e-02	3.873102e+00
2.899316851722125e-02	3.733472e+00
2.903223101722125e-02	3.593267e+00
2.907129351722125e-02	3.452532e+00
2.911035601722125e-02	3.311263e+00
2.914941851722124e-02	3.169507e+00
2.918848101722124e-02	3.027260e+00
2.922754351722124e-02	2.884567e+00
2.926660601722124e-02	2.741428e+00
2.930566851722124e-02	2.597886e+00
2.934473101722124e-02	2.453941e+00
2.938379351722124e-02	2.309636e+00
2.942285601722124e-02	2.164971e+00
2.946191851722124e-02	2.019991e+00
2.950098101722124e-02	1.874695e+00
2.954004351722124e-02	1.729128e+00
2.957910601722124e-02	1.583289e+00
2.961816851722123e-02	1.437222e+00
2.965723101722123e-02	1.290927e+00
2.969629351722123e-02	1.144449e+00
2.973535601722123e-02	9.977880e-01
2.977441851722123e-02	8.509877e-01
2.981348101722123e-02	7.040485e-01
2.985254351722123e-02	5.570148e-01
2.989160601722123e-02	4.098866e-01
2.993066851722123e-02	2.627082e-01
2.996973101722123e-02	1.154800e-01
3.000879351722123e-02	-3.175390e-02
3.004785601722123e-02	-1.789931e-01
3.008691851722122e-02	-3.261934e-01
3.012598101722122e-02	-4.733544e-01
3.016504351722122e-02	-6.204319e-01
3.020410601722122e-02	-7.674255e-01
3.028223101722122e-02	-1.061028e+00
3.036035601722122e-02	-1.353983e+00
3.043848101722122e-02	-1.646112e+00
3.051660601722122e-02	-1.937234e+00
3.059473101722121e-02	-2.227169e+00
3.067285601722121e-02	-2.515731e+00
3.075098101722121e-02	-2.802728e+00
3.079004351722121e-02	-2.945575e+00
3.082910601722121e-02	-3.087897e+00
3.086816851722121e-02	-3.229578e+00
3.090723101722121e-02	-3.370675e+00
3.094629351722121e-02	-3.511189e+00
3.098535601722121e-02	-3.651091e+00
3.102441851722120e-02	-3.790337e+00
3.106348101722120e-02	-3.928906e+00
3.110254351722120e-02	-4.066742e+00
3.114160601722120e-02	-4.203825e+00
3.118066851722120e-02	-4.340094e+00
3.121973101722120e-02	-4.475522e+00
3.125879351722120e-02	-4.610044e+00
3.129785601722120e-02	-4.743628e+00
3.133691851722120e-02	-4.876199e+00
3.137598101722120e-02	-5.007722e+00
3.141504351722120e-02	-5.138114e+00
3.145410601722120e-02	-5.267332e+00
3.149316851722120e-02	-5.395283e+00
3.153223101722120e-02	-5.521916e+00
3.157129351722120e-02	-5.647132e+00
3.161035601722120e-02	-5.770870e+00
3.164941851722120e-02	-5.893023e+00
3.168848101722119e-02	-6.013523e+00
3.172754351722119e-02	-6.132257e+00
3.176660601722119e-02	-6.249151e+00
3.180566851722119e-02	-6.364089e+00
3.184473101722119e-02	-6.476995e+00
3.188379351722119e-02	-6.587754e+00
3.192285601722119e-02	-6.696291e+00
3.196191851722119e-02	-6.802499e+00
3.200098101722119e-02	-6.906311e+00
3.204004351722119e-02	-7.007632e+00
3.207910601722119e-02	-7.106409e+00
3.211816851722119e-02	-7.202564e+00
3.215723101722118e-02	-7.296065e+00
3.219629351722118e-02	-7.386855e+00
3.223535601722118e-02	-7.474923e+00
3.227441851722118e-02	-7.560238e+00
3.235254351722118e-02	-7.722639e+00
3.243066851722118e-02	-7.874167e+00
3.250879351722118e-02	-8.015098e+00
3.262598101722117e-02	-8.207545e+00
3.269852566007832e-02	-8.314786e+00
3.277107030293545e-02	-8.415555e+00
3.284361494579260e-02	-8.509852e+00
3.291615958864974e-02	-8.597678e+00
3.298870423150688e-02	-8.679031e+00
3.306124887436402e-02	-8.753912e+00
3.313379351722116e-02	-8.822322e+00
3.324540066007831e-02	-8.917500e+00
3.335700780293544e-02	-9.004475e+00
3.346861494579258e-02	-9.083247e+00
3.358022208864973e-02	-9.153816e+00
3.369182923150687e-02	-9.216181e+00
3.380343637436400e-02	-9.270344e+00
3.391504351722115e-02	-9.316304e+00
3.423312387436400e-02	-9.419527e+00
3.455120423150685e-02	-9.487221e+00
3.486928458864970e-02	-9.519388e+00
3.518736494579255e-02	-9.516028e+00
3.550544530293540e-02	-9.477140e+00
3.582352566007825e-02	-9.402724e+00
3.614160601722110e-02	-9.292781e+00
