time	V(n002)
0.000000000000000e+00	0.000000e+00
1.329013590151994e-08	4.438540e-06
2.658027180303989e-08	1.328104e-05
3.987040770455983e-08	2.652750e-05
5.316054360607978e-08	4.417791e-05
6.645067950759973e-08	6.623229e-05
7.974081540911967e-08	9.269063e-05
9.303095131063958e-08	1.235529e-04
1.340999546151611e-07	2.293293e-04
2.036183636225726e-07	4.429122e-04
2.877749395024603e-07	7.336275e-04
4.299577301238443e-07	1.254772e-03
1.021277070904962e-06	3.481118e-03
1.364024945133002e-05	5.105349e-02
2.625922183175507e-05	9.862292e-02
3.887819421218012e-05	1.461894e-01
5.149716659260517e-05	1.937529e-01
6.411613897303023e-05	2.413135e-01
7.673511135345528e-05	2.888712e-01
8.935408373388030e-05	3.364259e-01
1.284165837338803e-04	4.835846e-01
1.674790837338803e-04	6.306651e-01
2.065415837338803e-04	7.776439e-01
2.456040837338803e-04	9.244968e-01
2.846665837338803e-04	1.071177e+00
3.237290837338803e-04	1.217590e+00
3.627915837338802e-04	1.363815e+00
4.018540837338802e-04	1.509848e+00
4.409165837338802e-04	1.655591e+00
4.799790837338802e-04	1.801018e+00
5.190415837338802e-04	1.946086e+00
5.581040837338802e-04	2.090750e+00
5.971665837338802e-04	2.234962e+00
6.362290837338803e-04	2.378661e+00
6.752915837338803e-04	2.521783e+00
7.143540837338803e-04	2.664246e+00
7.534165837338804e-04	2.805961e+00
7.924790837338804e-04	2.946816e+00
8.315415837338804e-04	3.086687e+00
8.706040837338805e-04	3.225418e+00
9.096665837338805e-04	3.362835e+00
9.487290837338806e-04	3.498727e+00
9.877915837338805e-04	3.632856e+00
1.026854083733881e-03	3.764948e+00
1.065916583733881e-03	3.894697e+00
1.104979083733881e-03	4.021768e+00
1.144041583733881e-03	4.145806e+00
1.183104083733881e-03	4.266446e+00
1.222166583733881e-03	4.383326e+00
1.261229083733881e-03	4.496108e+00
1.300291583733881e-03	4.604495e+00
1.339354083733881e-03	4.708244e+00
1.378416583733881e-03	4.807185e+00
1.417479083733881e-03	4.901222e+00
1.456541583733881e-03	4.990337e+00
1.495604083733881e-03	5.074583e+00
1.534666583733881e-03	5.154078e+00
1.573729083733881e-03	5.228989e+00
1.612791583733881e-03	5.299518e+00
1.651854083733881e-03	5.365868e+00
1.690916583733881e-03	5.428136e+00
1.729979083733881e-03	5.485789e+00
1.769041583733881e-03	5.536305e+00
1.808104083733881e-03	5.574769e+00
1.847166583733881e-03	5.601702e+00
1.925291583733881e-03	5.635660e+00
2.003416583733882e-03	5.653734e+00
2.081541583733882e-03	5.669615e+00
2.159666583733882e-03	5.683303e+00
2.237791583733882e-03	5.694797e+00
2.315916583733882e-03	5.704098e+00
2.394041583733882e-03	5.711205e+00
2.472166583733882e-03	5.716119e+00
2.706541583733882e-03	5.730507e+00
2.940916583733882e-03	5.742982e+00
3.175291583733882e-03	5.753544e+00
3.409666583733882e-03	5.762194e+00
3.644041583733883e-03	5.768930e+00
3.878416583733883e-03	5.773753e+00
4.112791583733883e-03	5.776664e+00
4.503416583733883e-03	5.781343e+00
4.894041583733883e-03	5.783334e+00
5.284666583733885e-03	5.782639e+00
5.675291583733885e-03	5.779258e+00
6.065916583733885e-03	5.773189e+00
6.456541583733886e-03	5.764433e+00
6.847166583733885e-03	5.752990e+00
6.997836226591028e-03	5.748489e+00
7.148505869448171e-03	5.741748e+00
7.299175512305313e-03	5.732768e+00
7.449845155162456e-03	5.721549e+00
7.600514798019599e-03	5.708091e+00
7.751184440876742e-03	5.692393e+00
7.901854083733884e-03	5.674457e+00
7.935336226591027e-03	5.669569e+00
7.968818369448169e-03	5.663275e+00
8.002300512305311e-03	5.655574e+00
8.035782655162452e-03	5.646466e+00
8.069264798019594e-03	5.635951e+00
8.102746940876737e-03	5.624030e+00
8.136229083733879e-03	5.610702e+00
8.175291583733878e-03	5.587789e+00
8.214354083733878e-03	5.554771e+00
8.253416583733877e-03	5.508783e+00
8.292479083733876e-03	5.453418e+00
8.331541583733875e-03	5.392928e+00
8.370604083733874e-03	5.328311e+00
8.409666583733873e-03	5.259594e+00
8.448729083733873e-03	5.186584e+00
8.487791583733872e-03	5.109076e+00
8.526854083733871e-03	5.026882e+00
8.565916583733870e-03	4.939866e+00
8.604979083733869e-03	4.847941e+00
